PlayerName,season,NYTeam,NYFP,WOPR,WOPR_Change,TD_Diff,NY_QB_Rank,NY_Off_Rank
Justin Jefferson,2021,MIN,NA,0.697,Same,1.098276138,15,14
Davante Adams,2021,LV,NA,0.686,Same,3.217048141,14,9
Cooper Kupp,2021,LAR,NA,0.673,Same,8.357415054,11,8
Brandin Cooks,2021,HOU,NA,0.652,Same,-1.415838394,27,29
DJ Moore,2021,CAR,NA,0.651,Same,-4.405040939,32,31
Diontae Johnson,2021,PIT,NA,0.641,Same,0.70293361,31,24
A.J. Brown,2021,PHI,NA,0.637,Same,-2.253876571,12,12
Terry McLaurin,2021,WAS,NA,0.61,Same,-1.96234529,21,23
Stefon Diggs,2021,BUF,NA,0.6,Same,3.145629259,2,1
DK Metcalf,2021,SEA,NA,0.587,Decrease,5.285996172,30,30
Tyler Lockett,2021,SEA,NA,0.586,Decrease,-0.703206373,30,30
Darnell Mooney,2021,CHI,NA,0.585,Same,-2.692408918,25,27
Marquise Brown,2021,ARI,NA,0.58,Decrease,-0.638421644,8,4
Keenan Allen,2021,LAC,NA,0.579,Same,-0.627624189,4,2
DeVante Parker,2021,NE,NA,0.579,Decrease,-4.627624189,20,20
Michael Pittman,2021,IND,NA,0.578,Same,-1.616826734,16,17
Ja'Marr Chase,2021,CIN,NA,0.573,Same,6.43716054,7,3
Tyreek Hill,2021,MIA,NA,0.572,Same,2.447957995,19,11
Tee Higgins,2021,CIN,NA,0.556,Same,-0.379282727,7,3
Deebo Samuel,2021,SF,NA,0.542,Same,-0.228118359,23,25
DeVonta Smith,2021,PHI,NA,0.54,Same,-1.20652345,12,12
Jakobi Meyers,2021,NE,NA,0.538,Same,-4.18492854,20,20
Courtland Sutton,2021,DEN,NA,0.5,Same,-3.774625255,6,6
Jaylen Waddle,2021,MIA,NA,0.495,Same,-0.720637981,19,11
DeAndre Hopkins,2021,ARI,NA,0.488,Same,2.354944203,8,4
Marvin Jones,2021,JAX,NA,0.484,Same,-2.601865978,18,18
Mike Williams,2021,LAC,NA,0.483,Same,2.408931477,4,2
Chase Claypool,2021,PIT,NA,0.48,Same,-3.558676158,31,24
Jarvis Landry,2021,NO,NA,0.478,Same,-4.537081249,24,22
Russell Gage,2021,TB,NA,0.467,Same,-2.418309245,13,13
CeeDee Lamb,2021,DAL,NA,0.467,Increase,0.581690755,9,7
Allen Robinson,2021,LAR,NA,0.456,Same,-4.299537242,11,8
Elijah Moore,2021,NYJ,NA,0.453,Same,-0.267144877,26,28
Robert Woods,2021,TEN,NA,0.452,Same,-1.256347422,22,26
Adam Thielen,2021,MIN,NA,0.451,Decrease,4.754450033,15,14
Amari Cooper,2021,CLE,NA,0.449,Increase,2.776044942,10,15
Amon-Ra St. Brown,2021,DET,NA,0.448,Same,-1.213157603,29,21
Marquez Callaway,2021,NO,NA,0.447,Decrease,0.797639852,24,22
Corey Davis,2021,NYJ,NA,0.442,Same,-1.148372874,26,28
Chris Godwin,2021,TB,NA,0.437,Same,-0.094385599,13,13
Christian Kirk,2021,JAX,NA,0.434,Same,-0.061993235,18,18
Robby Anderson,2021,CAR,NA,0.431,Same,-1.02960087,32,31
Sterling Shepard,2021,NYG,NA,0.427,Same,-3.986411051,17,19
Kenny Golladay,2021,NYG,NA,0.425,Same,-4.964816141,17,19
Mike Evans,2021,TB,NA,0.423,Increase,9.056778769,13,13
Marquez Valdes-Scantling,2021,KC,NA,0.42,Same,-1.910828867,1,10
Michael Gallup,2021,DAL,NA,0.419,Same,-2.900031412,9,7
Jerry Jeudy,2021,DEN,NA,0.418,Increase,-4.889233957,6,6
A.J. Green,2021,ARI,NA,0.41,Decrease,-1.802854318,8,4
Hunter Renfrow,2021,LV,NA,0.401,Decrease,4.294322775,14,9
Donovan Peoples-Jones,2021,CLE,NA,0.399,Same,-1.684082315,10,15
Brandon Aiyuk,2021,SF,NA,0.391,Same,0.402297324,10,25
Nelson Agholor,2021,NE,NA,0.378,Same,-1.457335763,20,20
Van Jefferson,2021,LAR,NA,0.373,Same,1.596651511,11,8
Tyler Boyd,2021,CIN,NA,0.365,Same,0.68303115,7,3
Tim Patrick,2021,DEN,NA,0.365,Same,0.68303115,6,6
Emmanuel Sanders,2021,BUF,NA,0.36,Decrease,-0.262981575,2,1
Darius Slayton,2021,NYG,NA,0.357,Same,-3.230589211,17,19
Cole Beasley,2021,N/A,NA,0.352,Decrease,-3.176601937,16,16
Kadarius Toney,2021,NYG,NA,0.346,Same,-4.111817207,17,19
Deonte Harris,2021,NO,NA,0.34,Decrease,-1.047032478,24,22
Rashod Bateman,2021,BAL,NA,0.338,Increase,-3.025437569,5,5
Jamison Crowder,2021,BUF,NA,0.336,Same,-2.003842659,2,1
Laviska Shenault,2021,JAX,NA,0.334,Same,-3.982247749,18,18
Zay Jones,2021,JAX,NA,0.328,Same,-2.91746302,18,18
Zach Pascal,2021,PHI,NA,0.325,Decrease,-0.885070655,12,12
Kalif Raymond,2021,DET,NA,0.32,Decrease,-0.831083381,29,21
K.J. Osborn,2021,MIN,NA,0.313,Increase,2.244498803,15,14
Quez Watkins,2021,PHI,NA,0.301,Decrease,-2.625931739,12,12
Allen Lazard,2021,GB,NA,0.29,Increase,4.492840265,3,16
Nico Collins,2021,HOU,NA,0.286,Increase,-2.463969916,27,29
Kendrick Bourne,2021,NE,NA,0.283,Same,1.568422449,20,20
Gabriel Davis,2021,BUF,NA,0.282,Increase,2.579219904,2,1
Nick Westbrook-Ikhine,2021,TEN,NA,0.278,Same,0.622409723,22,26
Mecole Hardman,2021,KC,NA,0.263,Increase,-1.215628454,1,10
Cedrick Wilson,2021,MIA,NA,0.256,Same,2.85995373,19,11
Bryan Edwards,2021,ATL,NA,0.254,Same,-0.11845136,28,32
Jalen Reagor,2021,PHI,NA,0.254,Same,-1.11845136,12,12
Ray-Ray McCloud,2021,SF,NA,0.253,Decrease,-3.107653906,23,25
Byron Pringle,2021,CHI,NA,0.232,Same,2.119092646,25,27
Adam Humphries,2021,WAS,NA,0.229,Decrease,-2.848514989,21,23
Braxton Berrios,2021,NYJ,NA,0.226,Decrease,-0.816122624,26,28
Rondale Moore,2021,ARI,NA,0.209,Same,-1.632565892,8,4
Tyler Johnson,2021,TB,NA,0.178,Same,-2.297844791,13,13
