PlayerName,season,NYTeam,NYFP,WOPR,WOPR_Change,TD_Diff,NY_QB_Rank,NY_Off_Rank,.pred
Justin Jefferson,2021,MIN,NA,0.697,Same,1.098276138,15,14,17.420578032668317
Davante Adams,2021,LV,NA,0.686,Same,3.217048141,14,9,17.625965938590003
Cooper Kupp,2021,LAR,NA,0.673,Same,8.357415054,11,8,19.70337501701857
Brandin Cooks,2021,HOU,NA,0.652,Same,-1.4158383939999999,27,29,14.714319752529056
DJ Moore,2021,CAR,NA,0.651,Same,-4.405040939,32,31,13.613942533271809
Diontae Johnson,2021,PIT,NA,0.641,Same,0.70293361,31,24,14.604040334543297
A.J. Brown,2021,PHI,NA,0.637,Same,-2.253876571,12,12,15.949485212298274
Terry McLaurin,2021,WAS,NA,0.61,Same,-1.96234529,21,23,15.418525127477643
Stefon Diggs,2021,BUF,NA,0.6,Same,3.145629259,2,1,18.09689863692819
DK Metcalf,2021,SEA,NA,0.587,Decrease,5.285996172,30,30,10.457444472663042
Tyler Lockett,2021,SEA,NA,0.586,Decrease,-0.703206373,30,30,9.21054377861814
Darnell Mooney,2021,CHI,NA,0.585,Same,-2.692408918,25,27,13.893927277291537
Marquise Brown,2021,ARI,NA,0.58,Decrease,-0.638421644,8,4,11.948658750759952
Keenan Allen,2021,LAC,NA,0.579,Same,-0.627624189,4,2,17.370383551610335
DeVante Parker,2021,NE,NA,0.579,Decrease,-4.627624189,20,20,10.625082955135168
Michael Pittman,2021,IND,NA,0.578,Same,-1.616826734,16,17,14.702932306960477
Ja'Marr Chase,2021,CIN,NA,0.573,Same,6.43716054,7,3,17.98735959837076
Tyreek Hill,2021,MIA,NA,0.572,Same,2.447957995,19,11,14.99537723895981
Tee Higgins,2021,CIN,NA,0.556,Same,-0.379282727,7,3,15.852790454262502
Deebo Samuel,2021,SF,NA,0.542,Same,-0.228118359,23,25,13.692165123786339
DeVonta Smith,2021,PHI,NA,0.54,Same,-1.20652345,12,12,13.870448597050586
Jakobi Meyers,2021,NE,NA,0.538,Same,-4.18492854,20,20,13.820073565327807
Courtland Sutton,2021,DEN,NA,0.5,Same,-3.774625255,6,6,14.474001430372798
Jaylen Waddle,2021,MIA,NA,0.495,Same,-0.720637981,19,11,12.626082499643372
DeAndre Hopkins,2021,ARI,NA,0.488,Same,2.354944203,8,4,14.226363179689498
Marvin Jones,2021,JAX,NA,0.484,Same,-2.601865978,18,18,12.59093810702225
Mike Williams,2021,LAC,NA,0.483,Same,2.408931477,4,2,15.46936281354884
Chase Claypool,2021,PIT,NA,0.48,Same,-3.558676158,31,24,11.043214024779916
Jarvis Landry,2021,NO,NA,0.478,Same,-4.537081249,24,22,11.584774508616235
Russell Gage,2021,TB,NA,0.467,Same,-2.418309245,13,13,12.055548941093848
CeeDee Lamb,2021,DAL,NA,0.467,Increase,0.581690755,9,7,16.513665291797505
Allen Robinson,2021,LAR,NA,0.456,Same,-4.299537242,11,8,11.847297587092841
Elijah Moore,2021,NYJ,NA,0.453,Same,-0.267144877,26,28,10.640064493707632
Robert Woods,2021,TEN,NA,0.452,Same,-1.256347422,22,26,11.505627429840374
Adam Thielen,2021,MIN,NA,0.451,Decrease,4.754450033,15,14,8.679193387189311
Amari Cooper,2021,CLE,NA,0.449,Increase,2.776044942,10,15,16.440359671715935
Amon-Ra St. Brown,2021,DET,NA,0.448,Same,-1.213157603,29,21,10.308853220629706
Marquez Callaway,2021,NO,NA,0.447,Decrease,0.797639852,24,22,7.395641516576003
Corey Davis,2021,NYJ,NA,0.442,Same,-1.148372874,26,28,10.294354396971062
Chris Godwin,2021,TB,NA,0.437,Same,-0.094385599,13,13,11.658161114616528
Christian Kirk,2021,JAX,NA,0.434,Same,-0.061993235,18,18,11.642060982299398
Robby Anderson,2021,CAR,NA,0.431,Same,-1.02960087,32,31,9.86744567619568
Sterling Shepard,2021,NYG,NA,0.427,Same,-3.986411051,17,19,11.159099016123374
Kenny Golladay,2021,NYG,NA,0.425,Same,-4.964816141,17,19,10.776182500054942
Mike Evans,2021,TB,NA,0.423,Increase,9.056778769,13,13,17.682606691243254
Marquez Valdes-Scantling,2021,KC,NA,0.42,Same,-1.910828867,1,10,11.900969140016652
Michael Gallup,2021,DAL,NA,0.419,Same,-2.900031412,9,7,11.254893473059719
Jerry Jeudy,2021,DEN,NA,0.418,Increase,-4.889233957,6,6,15.911744532849337
A.J. Green,2021,ARI,NA,0.41,Decrease,-1.802854318,8,4,7.728068460317441
Hunter Renfrow,2021,LV,NA,0.401,Decrease,4.294322775,14,9,7.370913499505612
Donovan Peoples-Jones,2021,CLE,NA,0.399,Same,-1.684082315,10,15,10.865284029956463
Brandon Aiyuk,2021,SF,NA,0.391,Same,0.402297324,23,25,10.276399946038016
Nelson Agholor,2021,NE,NA,0.378,Same,-1.457335763,20,20,10.30510746509279
Van Jefferson,2021,LAR,NA,0.373,Same,1.596651511,11,8,10.691349714385215
Tyler Boyd,2021,CIN,NA,0.365,Same,0.68303115,7,3,11.48457713791857
Tim Patrick,2021,DEN,NA,0.365,Same,0.68303115,6,6,11.824889336622924
Emmanuel Sanders,2021,BUF,NA,0.36,Decrease,-0.262981575,2,1,7.450900420530133
Darius Slayton,2021,NYG,NA,0.357,Same,-3.230589211,17,19,9.331810521076205
Cole Beasley,2021,N/A,NA,0.352,Decrease,-3.176601937,16,16,4.908041209140894
Kadarius Toney,2021,NYG,NA,0.346,Same,-4.111817207,17,19,9.137587675111797
Deonte Harris,2021,NO,NA,0.34,Same,-1.047032478,24,22,8.837275639867062
Rashod Bateman,2021,BAL,NA,0.338,Increase,-3.025437569,5,5,14.647080895038036
Jamison Crowder,2021,BUF,NA,0.336,Same,-2.003842659,2,1,10.761005538091462
Laviska Shenault,2021,JAX,NA,0.334,Same,-3.982247749,18,18,8.81238672511246
Zay Jones,2021,JAX,NA,0.328,Same,-2.91746302,18,18,8.546077717520157
Zach Pascal,2021,PHI,NA,0.325,Same,-0.885070655,12,12,8.869245721093133
Kalif Raymond,2021,DET,NA,0.32,Decrease,-0.831083381,29,21,3.6140392477035155
K.J. Osborn,2021,MIN,NA,0.313,Increase,2.244498803,15,14,12.384719459416361
Quez Watkins,2021,PHI,NA,0.301,Decrease,-2.625931739,12,12,4.051968947144617
Allen Lazard,2021,GB,NA,0.29,Increase,4.492840265,3,16,14.14729325885439
Nico Collins,2021,HOU,NA,0.286,Increase,-2.463969916,27,29,10.225381327712547
Kendrick Bourne,2021,NE,NA,0.283,Same,1.568422449,20,20,8.454979176359242
Gabriel Davis,2021,BUF,NA,0.282,Increase,2.579219904,2,1,13.312492672479836
Nick Westbrook-Ikhine,2021,TEN,NA,0.278,Same,0.622409723,22,26,7.705249705796427
Mecole Hardman,2021,KC,NA,0.263,Increase,-1.215628454,1,10,10.899683699254137
Cedrick Wilson,2021,MIA,NA,0.256,Same,2.85995373,19,11,7.534358099894215
Bryan Edwards,2021,ATL,NA,0.254,Same,-0.11845136,28,32,5.708630050222703
Jalen Reagor,2021,PHI,NA,0.254,Same,-1.11845136,12,12,7.074116204529692
Ray-Ray McCloud,2021,SF,NA,0.253,Decrease,-3.107653906,23,25,2.3120365115141333
Byron Pringle,2021,CHI,NA,0.232,Same,2.119092646,25,27,6.7380234954721745
Adam Humphries,2021,WAS,NA,0.229,Decrease,-2.848514989,21,23,2.1121034022002
Braxton Berrios,2021,NYJ,NA,0.226,Decrease,-0.816122624,26,28,1.7966123193618264
Rondale Moore,2021,ARI,NA,0.209,Same,-1.632565892,8,4,6.902381276179914
Tyler Johnson,2021,TB,NA,0.178,Same,-2.297844791,13,13,5.082623877781993
